Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
Polícia Militar apreende 13 plantas de maconha em sítio no município de São Benedito,Diário do Nordeste - site de notícias,5/8/2022,"A Polícia Militar do Ceará (PMCE) apreendeu 13 plantas de maconha, neste sábado (7), em uma localidade rural no município de São Benedito, no Ceará.",PMCE,Rural,São Benedito,Ceará,13 plantas ,X,X,1 homem de 35 anos foi levado à delegacia,X,Particular (Sítio Santa Tereza),https://diariodonordeste.verdesmares.com.br/seguranca/policia-militar-apreende-13-plantas-de-maconha-em-sitio-no-municipio-de-sao-benedito-1.3228116,,2312304.0,São Benedito,Ceará
Polícia Militar apreende drogas e erradica plantação de maconha no interior,200 anos Diário de Pernambuco - site de notícias,5/23/2022,"A Polícia Militar de Pernambuco (PMPE) anunciou uma série de atividades de combate ao tráfico de drogas nos municípios de Petrolina, Floresta e Cabrobó, no interior do Estado. De acordo com a PM, em Petrolina, uma cadela ajudou nas apreensões de drogas. Em Floresta, foi feito um bloqueio na pista e o motorista foi levado à delegacia. E na zona rural de Cabrobó, os policiais erradicaram um plantio de maconha.",PMPE,"Aparato geral - Petrolina, Floresta e Cabrobó","Petrolina, Floresta e Cabrobó",Pernambuco,X,"2.125kg em Petrolina, 13kg em Floresta e 130kg em Cabrobó",X,Sem informações,X,Aparato geral - Em Petrolina terreno baldio; em Floresta no carro Fiat Fiorino na rodovia; e em Cabrobó dois roçados na Serra da Bananeira.,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/05/policia-militar-apreende-drogas-e-erradica-plantacao-de-maconha-no-int.html,,2611101.0,Petrolina,Pernambuco
Polícia Militar apreende drogas e erradica plantação de maconha no interior,200 anos Diário de Pernambuco - site de notícias,5/23/2022,"A Polícia Militar de Pernambuco (PMPE) anunciou uma série de atividades de combate ao tráfico de drogas nos municípios de Petrolina, Floresta e Cabrobó, no interior do Estado. De acordo com a PM, em Petrolina, uma cadela ajudou nas apreensões de drogas. Em Floresta, foi feito um bloqueio na pista e o motorista foi levado à delegacia. E na zona rural de Cabrobó, os policiais erradicaram um plantio de maconha.",PMPE,"Aparato geral - Petrolina, Floresta e Cabrobó","Petrolina, Floresta e Cabrobó",Pernambuco,X,"2.125kg em Petrolina, 13kg em Floresta e 130kg em Cabrobó",X,Sem informações,X,Aparato geral - Em Petrolina terreno baldio; em Floresta no carro Fiat Fiorino na rodovia; e em Cabrobó dois roçados na Serra da Bananeira.,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/05/policia-militar-apreende-drogas-e-erradica-plantacao-de-maconha-no-int.html,,2605707.0,Floresta,Pernambuco
Polícia Militar apreende drogas e erradica plantação de maconha no interior,200 anos Diário de Pernambuco - site de notícias,5/23/2022,"A Polícia Militar de Pernambuco (PMPE) anunciou uma série de atividades de combate ao tráfico de drogas nos municípios de Petrolina, Floresta e Cabrobó, no interior do Estado. De acordo com a PM, em Petrolina, uma cadela ajudou nas apreensões de drogas. Em Floresta, foi feito um bloqueio na pista e o motorista foi levado à delegacia. E na zona rural de Cabrobó, os policiais erradicaram um plantio de maconha.",PMPE,"Aparato geral - Petrolina, Floresta e Cabrobó","Petrolina, Floresta e Cabrobó",Pernambuco,X,"2.125kg em Petrolina, 13kg em Floresta e 130kg em Cabrobó",X,Sem informações,X,Aparato geral - Em Petrolina terreno baldio; em Floresta no carro Fiat Fiorino na rodovia; e em Cabrobó dois roçados na Serra da Bananeira.,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/05/policia-militar-apreende-drogas-e-erradica-plantacao-de-maconha-no-int.html,,2603009.0,Cabrobó,Pernambuco
PRF apreende cerca de 400 kg maconha e skunk com caminhoneiro sem CNH,200 anos Diário de Pernambuco - site de notícias,8/13/2022,"Um homem sem habilitação acabou preso por policiais rodoviários federais por tráfico de drogas. Ele transportava uma carga de 397 kg de maconha e 5 kg de skunk na cabine do caminhão que dirigia. A abordagem aconteceu perto do município goiano de Rio Verde, no sudoeste do estado, distante cerca de 400km do Distrito Federal.",PRF-DF,Rodovia,Rio Verde,Goiás,X,397 kg de maconha e 5 kg de skunk,X,1 homem de 36 anos,X,Caminhão em rodovia pública,https://www.diariodepernambuco.com.br/noticia/brasil/2022/08/prf-apreende-cerca-de-400-kg-maconha-e-skunk-com-caminhoneiro-sem-cnh.html,,5218805.0,Rio Verde,Goiás
Polícia descobre plantação com 200 pés de maconha no Sul de Minas; quarteto é detido,200 anos Diário de Pernambuco - site de notícias,8/27/2022,"Uma plantação de maconha foi descoberta pela Polícia Militar (PM) nessa sexta-feira (26) às margens da MG-050 em Passos, no Sul de Minas Gerais. Três homens, de 20, 21 e 25 anos, foram presos e um adolescente de 17 anos foi apreendido. Acionada, a perícia confirmou 200 pés de maconha, com tamanhos que variavam entre 5 e 70 centímetros. Parte da plantação foi retirada para amostra e o restante foi queimado.
",PM,Rural,Passos,Minas Gerais,200,X,X,"Três homens, de 20, 21 e 25 anos, foram presos e um adolescente de 17 anos foi apreendido.",X,"Pública (margens da rodovia, altura do km 343)",https://www.diariodepernambuco.com.br/noticia/brasil/2022/08/policia-descobre-plantacao-com-200-pes-de-maconha-no-sul-de-minas-qua.html,,3147907.0,Passos,Minas Gerais
Polícia destrói plantação com cerca de 1.500 pés de maconha no sudoeste da Bahia,G1 - site de notícias,9/10/2022,"A Polícia Militar destruiu cerca de 1.500 pés de maconha, na tarde da última sexta-feira (9), em Jequié, no sudoeste da Bahia. Um suspeito foi detido na ação que terminou com a apreensão de três armas e acessórios para a venda e produção da droga.",PMBA,Sem informações ,Jequié,Bahia,Cerca de 1.500,8kg,X,1 suspeito detido,3,Sem informações (terreno baldio em uma área conhecida como Cravolândia).,https://g1.globo.com/ba/bahia/noticia/2022/09/10/policia-destroi-plantacao-com-cerca-de-1500-pes-de-maconha-no-sudoeste-da-bahia.ghtml,"Em nota, a PM informa que a plantação foi localizada em um terreno baldio em uma área conhecida como Cravolândia. Foram apreendidos um revólver calibre 32, duas espingardas de fabricação caseira, munições, uma balança, uma motosserra, 119 reais, além de oito quilos da erva prontos para consumo. A polícia chegou ao local depois de denúncias de tráfico.",2918001.0,Jequié,Bahia
"Operação apreende 1 tonelada de maconha e 3 fuzis, no Amazonas",G1 - site de notícias,9/20/2022,"Aproximadamente uma tonelada de droga e três fuzis foram apreendidos durante uma operação da Polícia Civil, na madrugada de segunda-feira (20), na área do município de Manacapuru, na Região Metropolitana de Manaus. Ninguém foi preso.",PC,Sem informações (embarcação),Manacapuru,Amazonas,X,1 tonelada,X,Sem informações (os 4 suspeitos que estavam no local conseguiram fugir e ainda não foram presos),4,Sem informações (embarcação no Rio Solimões),https://g1.globo.com/am/amazonas/noticia/2022/09/20/operacao-apreende-1-tonelada-de-maconha-e-3-fuzis-no-amazonas.ghtml,Operação ocorreu por denúncia anônima,1302504.0,Manacapuru,Amazonas
Cerca de 860 quilos de maconha são apreendidos em plantação na zona rural de Matias Cardoso,G1 - site de notícias,10/6/2022,"Cerca de 860 quilos de maconha foram apreendidos, nesta quarta-feira (5), na zona rural de Matias Cardoso. A Polícia Militar chegou até ao local após receber denúncias de que havia uma plantação da droga na Comunidade de Lagoa Nova e encontrou o entorpecente no processo de secagem. As pessoas que estavam no local conseguiram fugir e ainda não foram presas. A ação foi realizada em conjunto com a Polícia Federal.","PM de Jaíba, de Matias Cardoso, PM de Meio Ambiente e a Companhia de Policiamento Especializado",Rural,Matias Cardoso,Minas Gerais,"Sem informações (estrutura na propriedade voltada para o plantio, secagem e embalagem da maconha)",Cerca de 860kg,X,Sem informações (as pessoas que estavam no local conseguiram fugir e ainda não foram presas),X,Particular (propriedade),https://g1.globo.com/mg/grande-minas/noticia/2022/10/06/cerca-de-860-quilos-de-maconha-sao-apreendidos-em-plantacao-na-zona-rural-de-matias-cardoso.ghtml,"Na propriedade, foram encontradas tendas feitas com madeira, cobertas por plástico preto, onde eram abrigadas as folhagens da maconha, que estavam passando pelo processo de secagem antes de serem embaladas para o comércio. Uma seladora à vácuo e uma balança também foram apreendidos.",3140852.0,Matias Cardoso,Minas Gerais
PM descobre plantação de maconha em Caucaia: veja vídeo,Diário do Nordeste - site de notícias,10/12/2022,"Policiais militares localizaram uma plantação de maconha em Caucaia, Região Metropolitana de Fortaleza (RMF). As autoridades receberam denúncias anônimas sobre uma casa que estaria sendo usada por traficantes, foram até o local e averiguaram a veracidade da informação.",PM ,Urbana,Caucaia,Ceará,6,X,X,1 adolescente de 17 anos (sem informações sobre o sexo),X,Particular (casa),https://diariodonordeste.verdesmares.com.br/seguranca/pm-descobre-plantacao-de-maconha-em-caucaia-veja-video-1.3288447,,2303709.0,Caucaia,Ceará
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.,Gov - site de notícias,10/24/2022,"A Polícia Rodoviária Federal (PRF) apreendeu 168,7 kg de skunk, que motivou a prisão de dois homens por tráfico de drogas. A ação policial aconteceu no km 402 da BR 020, em Caucaia/CE, e é a maior apreensão desse tipo de entorpecente, realizada pela PRF no estado do Ceará, nos últimos 5 anos",PRF,caminhão-baú do tipo VW/8.120,"Caucaia. Droga veio de Belém/PA, com destino para Fortaleza.",Ceará,X,"168,7kg skunk",X,2 homens (de 38 e 35 anos),X,Sem informações (encontrado skunk em rodovia),https://globoplay.globo.com/v/11055936/,https://www.gov.br/prf/pt-br/noticias/estaduais/ceara/2022/outubro/201csupermaconha201d-prf-realiza-a-maior-apreensao-de-skunk-dos-ultimos-5-anos-no-ceara,,,
