Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
COMBATE AO NARCOTRÁFICO: Operação desarticula novo grande plantio de maconha na Paraíba,PMPB - Site de notícias,1/23/2026,"Em uma nova ação de combate ao narcotráfico, uma operação conjunta entre a Polícia Militar da Paraíba e a Polícia Federal localizou mais um plantio de cannabis sativa na região do cariri, na divisa entre a Paraíba e Pernambuco (fotos acima e abaixo). Esta já é a 4ª grande operação para localização e erradicação de plantios que dão origem à maconha. A ação aconteceu na manhã desta quinta-feira (11).",PMPB e PF,Rural,Região do cariri,Paraíba e Pernambuco,"Sem informações (na mesma notícia, colocam que outro plantio de cerca de 180 mil pés de maconha também foi desarticulados pelas Polícias.",X,X,1 homem,4,Sem informações,https://www.pm.pb.gov.br/portal/2024/07/11/combate-ao-narcotrafico-operacao-desarticula-novo-grande-plantio-de-maconha-na-paraiba/,,,,
URGENTE! Polícia Federal encontra 70 mil pés de maconha na região central do Maranhão,Blog Minuto Barra - site de notícias,1/26/2026,"A Polícia Federal erradicou cerca de 70 mil pés de maconha durante uma grande operação realizada em terra indígena na região central do Maranhão. A ação ocorreu no âmbito da Operação Carcará, que teve como foco o combate ao plantio ilegal da droga dentro da terra indígena Bacurizinho, localizada no município de Grajaú.",PF (Operação Carcará),Rural,Grajaú,Maranhão,Cerca de 70 mil,Meia tonelada,X,X,X,Pública (terra indígena Bacurizinho),https://minutobarra.com.br/noticias/urgente-policia-federal-encontra-70-mil-pes-de-maconha-na-regiao-central-do-maranhao/,,2104800.0,Grajaú,Maranhão
"Contrabando na fronteira com o Paraguai cresce 232%, dizem Receita e PF",CNN Brasil  - site de notícias,05/05/2020 (mensuração abril de 2020 e 2019),"Em abril, a Polícia Federal apreendeu 12,1 toneladas de maconha na área da fronteira localizada na cidade de Guaíra, no oeste do Paraná. No mesmo período em 2019 o volume apreendido foi de 4,5 toneladas da droga, um aumento de 169%. No total, foram apreendidos: 12.310 kg de maconha, 5,3 mil caixas de cigarros, 300 quilos de agrotóxicos, 13 caminhões, 27 veículos entre carros, vans e motos, 7 embarcações, 16 armas entre pistolas e fuzis e mais de 7,3 mil munições.",PF,Aparato geral - fronteira ,Guaíra,Paraná,X,"12,1 toneladas em 2020 e 4,5 toneladas em 2019",X,X,16 em 2020,Aparato geral fronteira ,https://www.cnnbrasil.com.br/internacional/contrabando-na-fronteira-com-o-paraguai-cresce-232-dizem-receita-e-pf/,"Os criminosos utilizam os rios da região e a áreas da fronteira seca para contrabandear as mercadorias. Se delegado da Alfândega da Receita Federal em Foz do Iguaçu, Paulo Bini, os contrabandistas sempre utilizam rotas clandestinas para atravessar com os produtos para o lado brasileiro. O Paraguai é o maior produtor da droga na América do Sul e mesmo com o isolamento rígido adotado no país, os narcotraficantes não pararam com o cultivo.  A Senad - Secretaria Nacional Antidrogas do Paraguai, disse que as operações para erradicação de cultivos e apreensão de maconha na fronteira com o Brasil também foram intensificadas.",4108809.0,Guaíra,Paraná
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2609808.0,Orocó,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2612208.0,Salgueiro,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2603009.0,Cabrobó,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2601607.0,Belém do São Francisco,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2601805.0,Betânia,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2605608.0,Flores,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2603926.0,Carnaubeira da Penha,Pernambuco
"Operação da Polícia Federal destrói ao todo 256 mil pés de maconha, que produziria 85 toneladas da droga",200 anos Diário de Pernambuco - site de notícias,08/09/2022 (mensuração dos dias 14 de julho a 5 de setembro de 2022),"A Operação destruiu os plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 14 de julho a 5 de setembro em 3 fases de levantamento, percussora e deflagração da operação, onde conseguiu-se erradicar e destruir cerca de 256 mil pés de maconha e destruição de 51 mil mudas que estavam em 89 plantios e apreender 176 quilos de maconha já pronta para o consumo. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim.",PF (Operação PHASEOLI IV),Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,Cerca de 256.000 e 51 mil mudas,176kg,X,2 (sem informações sobre o sexo),X,Sem informações (ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/09/operacao-da-policia-federal-destroi-ao-todo-256-mil-pes-de-maconha-qu.html,,2610400.0,Parnamirim,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2609808.0,Orocó,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2612208.0,Salgueiro,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2603009.0,Cabrobó,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2601607.0,Belém do São Francisco,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2601805.0,Betânia,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2605608.0,Flores,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2603926.0,Carnaubeira da Penha,Pernambuco
"Polícia Federal realiza erradicação de 172 mil pés de maconha por meio da ""Operação Phaseoli I""",200 anos Diário de Pernambuco - site de notícias,13/02/2022 (mensuração de 29 de janeiro a 09 de fevereiro),"Foi concluída a primeira fase da operação de erradicação e destruição dos plantios de maconha no Sertão Pernambucano no ano de 2022 que compreendeu os dias 29 de janeiro a 09 de fevereiro (12 dias), onde conseguiu-se erradicar e destruir cerca de 172 mil pés de maconha e destruição de 50 mil mudas que estavam em 26 plantios. Os plantios foram localizados através de levantamentos feitos pela Polícia Federal em algumas ilhas dos Rio São Francisco, na Região de Orocó/PE, Salgueiro/PE, Cabrobó/PE, Belém do São Francisco/PE, Betânia/PE, Flores/PE e Parnamirim/PE.","PF, PC, PM e integrantes do exército (Operação Phaseoli I)",Rural,"Orocó, Salgueiro, Cabrobó, Belém do São Francisco, Betânia, Flores, Carnaubeira da Penha e Parnamirim",Pernambuco,172 mil e 50 mil mudas,X,X,X,X,Sem informações (26 plantios encontrados na operação nas Ilhas do Rio São Francisco),https://www.diariodepernambuco.com.br/noticia/vidaurbana/2022/02/policia-federal-realiza-erradicacao-de-172-mil-pes-de-maconha-por-meio.html,,2610400.0,Parnamirim,Pernambuco
PRF apreende cerca de 400 kg maconha e skunk com caminhoneiro sem CNH,200 anos Diário de Pernambuco - site de notícias,13/08/2022 (mensuração final de junho),"O ano de 2022 está marcado por apreensões de grande toneladas de drogas no DF e região. O caso mais emblemático está na operação da Polícia Militar do Distrito Federal que mais tirou drogas das ruas em 2022. A PMDF confiscou 2,5 toneladas de maconha na Ceilândia no final de junho.",PMDF,Aparato geral - DF,Brasília,Goiás,X,"2,5 toneladas de maconha",X,X,X,X,https://www.diariodepernambuco.com.br/noticia/brasil/2022/08/prf-apreende-cerca-de-400-kg-maconha-e-skunk-com-caminhoneiro-sem-cnh.html,,5300108.0,Brasília,Distrito Federal
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia,CNN Brasil  - site de notícias,"18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020)","Um conjunto de fatores, que inclui o encarecimento da importação do produto e a migração de facções criminosas para o interior do país, fez com que o número de pés de maconha identificados e destruídos pela Polícia Federal saltasse de 968.027 em 2018 para 1.585.759 em 2019. De janeiro a 10 de julho deste ano, a PF já havia localizado outras 303 áreas e destruído 983.117 unidades da planta.",PF ,Rural,"regiões da Bahia, Pernambuco, Maranhão e Pará e Amazônia","Bahia, Pernambuco, Maranhão e Pará e Amazônia",968.027 em 2018; 1.585.759 em 2019; de jan. a 10 de jul. de 2020 foram 983.117,X,X,X,X,"Aparato Bahia, Pernambuco, Maranhão e Pará e Amazônia",https://www.cnnbrasil.com.br/nacional/plantacoes-de-maconha-crescem-pelo-brasil-e-se-espalham-pela-amazonia/,"O relatório da PF mostra que, nos últimos 10 anos, o país nunca deixou de produzir maconha em seu próprio território. A novidade agora, é o avanço sobre áreas adensadas da Amazônia, onde o rastreamento identificou 95 plantações — o equivalente a 18 campos de futebol.",,,
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia,CNN Brasil  - site de notícias,"18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020)","Um conjunto de fatores, que inclui o encarecimento da importação do produto e a migração de facções criminosas para o interior do país, fez com que o número de pés de maconha identificados e destruídos pela Polícia Federal saltasse de 968.027 em 2018 para 1.585.759 em 2019. De janeiro a 10 de julho deste ano, a PF já havia localizado outras 303 áreas e destruído 983.117 unidades da planta.",PF ,Rural,"regiões da Bahia, Pernambuco, Maranhão e Pará e Amazônia","Bahia, Pernambuco, Maranhão e Pará e Amazônia",968.027 em 2018; 1.585.759 em 2019; de jan. a 10 de jul. de 2020 foram 983.117,X,X,X,X,"Aparato Bahia, Pernambuco, Maranhão e Pará e Amazônia",https://www.cnnbrasil.com.br/nacional/plantacoes-de-maconha-crescem-pelo-brasil-e-se-espalham-pela-amazonia/,"O relatório da PF mostra que, nos últimos 10 anos, o país nunca deixou de produzir maconha em seu próprio território. A novidade agora, é o avanço sobre áreas adensadas da Amazônia, onde o rastreamento identificou 95 plantações — o equivalente a 18 campos de futebol.",,,
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia,CNN Brasil  - site de notícias,"18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020)","Um conjunto de fatores, que inclui o encarecimento da importação do produto e a migração de facções criminosas para o interior do país, fez com que o número de pés de maconha identificados e destruídos pela Polícia Federal saltasse de 968.027 em 2018 para 1.585.759 em 2019. De janeiro a 10 de julho deste ano, a PF já havia localizado outras 303 áreas e destruído 983.117 unidades da planta.",PF ,Rural,"regiões da Bahia, Pernambuco, Maranhão e Pará e Amazônia","Bahia, Pernambuco, Maranhão e Pará e Amazônia",968.027 em 2018; 1.585.759 em 2019; de jan. a 10 de jul. de 2020 foram 983.117,X,X,X,X,"Aparato Bahia, Pernambuco, Maranhão e Pará e Amazônia",https://www.cnnbrasil.com.br/nacional/plantacoes-de-maconha-crescem-pelo-brasil-e-se-espalham-pela-amazonia/,"O relatório da PF mostra que, nos últimos 10 anos, o país nunca deixou de produzir maconha em seu próprio território. A novidade agora, é o avanço sobre áreas adensadas da Amazônia, onde o rastreamento identificou 95 plantações — o equivalente a 18 campos de futebol.",,,
