Titulo da reportagem;data;municipio_lista
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Brotas de Macaúba: Força integrada Estadual e Federal erradica 200 mil pés de maconha e apreende uma tonelada da droga;2/21/2026;Brotas   Macaúbas
PF e PM prendem seis pessoas durante apreensão de mais de 2 toneladas de maconha, no AM;1/24/2023;Barco     município   Novo Airão
PF destrói 8 mil pés de maconha em operação no interior do Amazonas;8/29/2025;Nova Orlinda do Norte
Polícia Federal e a Companhia de Operações Especiais da Polícia Militar do Amazonas apreendem balsa com drogas no Rio Japurá/AM;4/30/2022;Rio Japurá
Mais de 3 mil pessoas foram presas por tráfico de drogas no primeiro semestre de 2022, no Amazonas;15/09/2022 (mensuração 6 primeiros meses de 2022);Aparato geral - Amazonas
Amazonas atinge novo recorde de apreensão de drogas;11/02/2021 (mensuração 2020);Aparato geral - Amazonas
SSP-AM registra apreensão recorde de 10,5 toneladas de drogas;07/01/2016 (mensuração 2015);Aparato geral - Amazonas
Plantação de maconha com sistema de energia solar é destruída pela polícia na Bahia;8/19/2025;Brotas   Macaúbas
Fazenda de Maconha com grande estrutura é descoberta pela polícia em Brotas de Macaúbas;8/20/2025;Brotas   Macaúbas
Bahia ultrapassa 1 milhão de pés de maconha erradicados em 2025;20/08/2025 (jan a ago de 2025);Aparato geral - Bahia
Bahia ultrapassa 1 milhão de pés de maconha erradicados em 2026;20/08/2025 (jan a ago de 2025);Aparato geral - Bahia
Brotas de Macaúba: Força integrada Estadual e Federal erradica 200 mil pés de maconha e apreende uma tonelada da droga;2/21/2026;Brotas   Macaúbas
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2018, 2019 e jan. a 10 de jul. de 2020);Amazônia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);regiões da Bahia
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Maranhão
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Pará
Plantações de maconha crescem pelo Brasil e se espalham pela Amazônia;18/07/2020 (Mensuração 2019 a 10 de jul. 2020);Amazônia
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Encontrado no km 402 da rodovia 020 em Caucaia
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;Droga veio   Belém
“Supermaconha”: PRF realiza a maior apreensão de skunk dos últimos 5 anos no Ceará.;10/24/2022;com destino para Fortaleza
Golpe a narcos: destruyen 142 toneladas de marihuana en Concepción;05/08/2023;Ka'aguy Poty Rory
Golpe a narcos: destruyen 142 toneladas de marihuana en Concepción;05/08/2023;distrito   Yby Yaú
PRF apreende cerca de 400 kg maconha e skunk com caminhoneiro sem CNH;13/08/2022 (mensuração final de junho);DF - Ceilândia
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha;08/05/2021;Alto Turiaçu
PF deflagra operação com tráfico de drogas no MA e destrói 95 mil pés de maconha;08/05/2021;Alto Rio Guamá
POLICIAIS MILITARES DO 15º BPM APREENDEM PLANTAÇÃO DE MACONHA NO MUNICÍPIO DE CONCEIÇÃO DO LAGO AÇU, MA;03/09/2021;Conceição do Lago Açu
Como as plantações de maconha ajudaram a espalhar o crime pelo país e chegaram à Amazônia;30/07/2020 (mensuração Brasil nos anos de 2017 a 2020);Aparato geral - Brasil
'Fazenda da maconha' com 6 mil pés espanta polícia pelo profissionalismo: 'É surpreendente';7/30/2025;Região do  Alto Paranaíba
Narcotráfico no Brasil acelera destruição da floresta tropical amazônica e aumenta violência;1/31/2022;Aparato geral - Pará
VÍDEO: Flores de maconha são apreendidas no Pará;11/23/2022;Parauaopebas
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará;8/16/2025;próximos à Terra Indígena Alto Rio Guamá
O invisível tráfico de drogas;18/04/2022 (mensuração 2019 a 2021);Aparato geral - Pará
O invisível tráfico de drogas;18/04/2022 (mensuração de jan. a mar. de 2022);Aparato geral - Pará
A luta contra o crime organizado continua em Canindeyú;07/08/2024;Canindeyú
Polícia Federal destrói mais de 100 mil pés de maconha na Paraíba;04/12/2025;Sem informações
Operação destrói 72 mil pés de maconha e mais de 1,8 tonelada da droga pronta na Paraíba;02/09/2026;Caraúba
COMBATE AO NARCOTRÁFICO: Operação desarticula novo grande plantio de maconha na Paraíba;1/23/2026;Região do cariri
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano;2/13/2017;Ibó
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano;13/02/2017 (Mensuração ano de 2015);Aparato geral - Pernambuco
Polícia Federal destrói 48 mil pés de maconha no sertão pernambucano;13/02/2017 (Mensuração ano de 2016);Aparato geral - Pernambuco
Em 5 meses, PF descobre mais de 300 toneladas de maconha em Pernambuco;17/07/2020 (mensuração fev. a início de jul. de 2020);Aparato geral - Pernambuco
Em 5 meses, PF descobre mais de 300 toneladas de maconha em Pernambuco;Mensuração fev. a início de jul. de 2019;Aparato geral - Pernambuco
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Ilhas do Rio São Francisco
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;na Região   Orocó
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Além disso
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;a PF também esteve presente em áreas   caatinga em Salgueiro
PF arrasa plantação de 248 mil pés de maconha no sertão;10/10/2019;Ibó
Com erradicações, Polícia Federal evita produção de 135 toneladas de maconha em Pernambuco só em 2020;10/06/2020 (mensuração de fevereiro a junho de 2020);Principalmente Salgueiro
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);Ilhas do Rio São Francisco
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas regiões   Orocó
Apreensões de plantio de maconha no Nordeste não influenciam tráfico na fronteira;26/06/2018 (mensuração entre os dias 4 e 15 de junho de 2018);nas áreas   caatinga em Salgueiro
Operação Carcará: PF destrói mais de 576 mil pés de maconha em ilhas do Rio São Francisco, no Sertão de PE;2/13/2026;Circunscrição   Salgueiro
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco;5/20/2025;Ibimirim e Serra Talhada
Polícia Federal erradica mais de 430 mil pés de maconha no Sertão de Pernambuco;5/20/2025;e Manaíra
PF destrói milhares de pés de maconha em três estados do Nordeste ;08/11/2025;localidades do Piauí
Polícia encontra estufa com plantação de 300 pés de maconha no Complexo da Maré;7/23/2025;Rio   Janeiro
BA: operação policial prende sete pessoas e destrói 15 toneladas de maconha;3/31/2026;Sem informações
Polícia localiza roça com aproximadamente 50 mil pés de maconha;4/22/2026;Muquém do São Francisco
Polícia destrói 800 quilos de maconha e erradica plantações na região de fronteira;05/03/2026;Distrito   Pedro Juan Caballero
